Age,Attrition,BusinessTravel,DailyRate,dept_id,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over_time,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,0,Travel_Rarely,1115,2,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,1,0,18,3,3,1,7,2,4,7,5,0,7
32,0,Travel_Rarely,427,2,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,1,1,22,4,2,1,9,3,3,9,8,7,8
38,0,Travel_Frequently,653,2,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,1,0,11,3,4,0,10,2,3,10,3,9,9
50,0,Travel_Rarely,989,2,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,18740,5,1,12,3,4,1,29,2,2,27,3,13,8
59,0,Travel_Rarely,1435,1,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637,7,0,11,3,4,0,28,3,2,21,16,7,9
36,0,Travel_Rarely,1223,2,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,1,0,13,3,2,3,17,2,3,17,14,12,8
55,0,Travel_Rarely,836,2,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756,2,1,14,3,3,3,21,2,3,5,0,0,2
36,0,Travel_Frequently,1195,2,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,1,0,13,3,3,0,6,3,3,6,5,0,3
45,0,Travel_Rarely,1339,2,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,2,0,17,3,3,1,25,2,3,1,0,0,0
35,0,Travel_Frequently,664,2,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194,4,0,13,3,4,1,5,2,2,3,2,1,2
36,1,Travel_Rarely,318,2,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388,0,1,17,3,1,1,2,0,2,1,0,0,0
59,0,Travel_Frequently,1225,1,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473,7,0,11,3,4,0,20,2,2,4,3,1,3
29,0,Travel_Rarely,1328,2,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703,0,0,23,4,4,1,6,3,3,5,4,0,4
31,0,Travel_Rarely,1082,2,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501,1,0,17,3,2,0,1,4,3,1,1,1,0
32,0,Travel_Rarely,548,2,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220,1,0,17,3,2,2,10,3,3,10,4,0,9
36,0,Travel_Rarely,132,2,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,3,0,12,3,2,0,5,3,3,1,0,0,0
31,0,Travel_Rarely,746,2,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,1,0,23,4,4,0,11,2,3,11,7,1,8
35,0,Travel_Rarely,776,1,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312,0,0,14,3,2,0,16,2,3,15,13,2,8
45,0,Travel_Rarely,193,2,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,13245,4,1,14,3,2,0,17,3,4,0,0,0,0
37,0,Travel_Rarely,397,2,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664,4,0,13,3,1,0,16,3,4,5,2,0,2
46,0,Travel_Rarely,945,3,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,8,1,22,4,4,1,16,2,3,4,2,0,2
30,0,Travel_Rarely,852,2,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,1,1,12,3,3,2,10,1,2,10,8,3,0
35,0,Travel_Rarely,1214,2,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859,1,0,18,3,1,0,6,3,3,6,4,0,4
55,0,Travel_Rarely,111,1,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239,3,0,14,3,4,1,24,4,3,1,0,1,0
38,0,Non-Travel,573,2,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,7,1,12,3,4,3,17,3,3,13,11,1,9
34,0,Travel_Rarely,1153,2,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,1,0,15,3,3,0,5,2,3,5,2,1,3
56,0,Travel_Rarely,1400,2,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,4,0,11,3,1,0,37,3,2,6,4,0,2
23,0,Travel_Rarely,541,1,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,3,0,13,3,3,1,3,3,3,0,0,0,0
51,0,Travel_Rarely,432,2,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,3,0,23,4,2,2,10,4,3,4,2,0,3
30,0,Travel_Rarely,288,2,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,1,0,19,3,1,3,11,3,3,11,10,10,8
46,1,Travel_Rarely,669,1,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,9619,1,0,16,3,4,0,9,3,3,9,8,4,7
40,0,Travel_Frequently,530,2,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,1,0,22,4,4,1,22,3,2,22,3,11,11
51,0,Travel_Rarely,632,1,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,5441,0,1,22,4,4,0,11,2,1,10,7,1,0
30,0,Travel_Rarely,1334,1,4,2,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,1,1,12,3,2,3,11,4,2,11,8,2,7
46,0,Travel_Frequently,638,2,1,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,2,1,13,3,3,1,21,5,2,10,9,9,5
32,0,Travel_Rarely,1093,1,6,4,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,5010,1,0,16,3,1,0,12,0,3,11,8,5,7
54,0,Travel_Rarely,1217,2,2,4,Technical Degree,126,1,Female,60,3,3,Research Director,3,Married,13549,9,0,12,3,1,1,16,5,1,4,3,0,3
24,0,Travel_Rarely,1353,1,3,2,Other,128,1,Female,33,3,2,Sales Executive,3,Married,4999,0,0,21,4,1,1,4,2,2,3,2,0,2
28,0,Non-Travel,120,1,4,3,Medical,129,2,Male,43,3,2,Sales Executive,3,Married,4221,1,0,15,3,2,0,5,3,4,5,4,0,4
58,0,Travel_Rarely,682,1,10,4,Medical,131,4,Male,37,3,4,Sales Executive,3,Single,13872,0,0,13,3,3,0,38,1,2,37,10,1,8
44,0,Non-Travel,489,2,23,3,Medical,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042,4,0,12,3,3,1,17,3,4,3,2,1,2
37,1,Travel_Rarely,807,3,6,4,Human Resources,133,3,Male,63,3,1,Human Resources,1,Divorced,2073,4,1,22,4,4,0,7,3,3,3,2,0,2
32,0,Travel_Rarely,827,2,1,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,2956,1,0,13,3,4,0,1,2,3,1,0,0,0
20,1,Travel_Frequently,871,2,6,3,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,1,1,18,3,2,0,1,5,3,1,0,1,0
34,0,Travel_Rarely,665,2,6,4,Other,138,1,Female,41,3,2,Research Scientist,3,Single,4809,1,0,14,3,3,0,16,3,3,16,13,2,10
37,0,Non-Travel,1040,2,2,2,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,5,0,14,3,4,1,17,2,4,1,0,0,0
59,0,Non-Travel,1420,3,2,4,Human Resources,140,3,Female,32,2,5,Manager,4,Married,18844,9,0,21,4,4,1,30,3,3,3,2,2,2
50,0,Travel_Frequently,1115,2,1,3,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,18172,3,1,19,3,1,0,28,1,2,8,3,0,7
25,1,Travel_Rarely,240,1,5,3,Marketing,142,3,Male,46,2,2,Sales Executive,3,Single,5744,1,1,11,3,4,0,6,1,3,6,4,0,3
25,0,Travel_Rarely,1280,2,7,1,Medical,143,4,Male,64,2,1,Research Scientist,4,Married,2889,1,0,11,3,3,2,2,2,3,2,2,2,1
22,0,Travel_Rarely,534,2,15,3,Medical,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,1,0,15,3,3,0,1,5,3,0,0,0,0
51,0,Travel_Frequently,1456,2,1,4,Medical,145,1,Female,30,2,3,Healthcare Representative,1,Single,7484,3,0,20,4,3,0,23,1,2,13,12,12,8
34,1,Travel_Frequently,658,2,7,3,Life Sciences,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074,1,1,24,4,4,0,9,3,3,9,7,0,6
54,0,Non-Travel,142,3,26,3,Human Resources,148,4,Female,30,4,4,Manager,4,Single,17328,2,1,12,3,3,0,23,3,3,5,3,4,4
24,0,Travel_Rarely,1127,2,18,1,Life Sciences,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,0,0,12,3,3,1,6,2,3,5,3,1,2
34,0,Travel_Rarely,1031,2,6,4,Life Sciences,151,3,Female,45,2,2,Research Scientist,2,Divorced,4505,6,0,15,3,3,1,12,3,3,1,0,0,0
37,0,Travel_Rarely,1189,1,3,3,Life Sciences,152,3,Male,87,3,3,Sales Executive,4,Single,7428,2,0,12,3,1,0,12,3,3,5,3,1,3
34,0,Travel_Rarely,1354,2,5,3,Medical,153,3,Female,45,2,3,Manager,1,Single,11631,2,0,12,3,4,0,14,6,3,11,10,5,8
36,0,Travel_Frequently,1467,1,11,2,Technical Degree,154,2,Female,92,3,3,Sales Executive,4,Married,9738,0,0,14,3,3,1,10,6,3,9,7,2,8
36,0,Travel_Rarely,922,2,3,2,Life Sciences,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,5,0,22,4,1,1,7,2,3,1,0,0,0
43,0,Travel_Frequently,394,1,26,2,Life Sciences,158,3,Male,92,3,4,Manager,4,Married,16959,1,1,12,3,4,2,25,3,4,25,12,4,12
30,0,Travel_Frequently,1312,2,23,3,Life Sciences,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613,1,0,25,4,3,3,10,2,2,10,7,0,9
33,0,Non-Travel,750,1,22,2,Marketing,160,3,Male,95,3,2,Sales Executive,2,Married,6146,0,0,13,3,1,1,8,2,4,7,7,0,7
56,1,Travel_Rarely,441,2,14,4,Life Sciences,161,2,Female,72,3,1,Research Scientist,2,Married,4963,9,1,18,3,1,3,7,2,3,5,4,4,3
51,0,Travel_Rarely,684,2,6,3,Life Sciences,162,1,Male,51,3,5,Research Director,3,Single,19537,7,0,13,3,3,0,23,5,3,20,18,15,15
31,1,Travel_Rarely,249,1,6,4,Life Sciences,163,2,Male,76,1,2,Sales Executive,3,Married,6172,4,1,18,3,2,0,12,3,2,7,7,7,7
26,0,Travel_Rarely,841,2,6,3,Other,164,3,Female,46,2,1,Research Scientist,2,Married,2368,1,0,19,3,3,0,5,3,2,5,4,4,3
58,1,Travel_Rarely,147,2,23,4,Medical,165,4,Female,94,3,3,Healthcare Representative,4,Married,10312,1,0,12,3,4,1,40,3,2,40,10,15,6
19,1,Travel_Rarely,528,1,22,1,Marketing,167,4,Male,50,3,1,Sales Representative,3,Single,1675,1,1,19,3,4,0,0,2,2,0,0,0,0
22,0,Travel_Rarely,594,2,2,1,Technical Degree,169,3,Male,100,3,1,Laboratory Technician,4,Married,2523,0,0,14,3,3,1,3,2,3,2,1,2,1
49,0,Travel_Rarely,470,2,20,4,Medical,170,3,Female,96,3,2,Manufacturing Director,1,Married,6567,1,0,14,3,3,0,16,2,2,15,11,5,11
43,0,Travel_Frequently,957,2,28,3,Medical,171,2,Female,72,4,1,Research Scientist,3,Single,4739,4,0,12,3,4,0,18,2,3,3,2,1,2
50,0,Travel_Frequently,809,1,12,3,Marketing,174,3,Female,77,3,3,Sales Executive,4,Single,9208,4,0,11,3,4,0,16,3,3,2,2,2,1
31,1,Travel_Rarely,542,1,20,3,Life Sciences,175,2,Female,71,1,2,Sales Executive,3,Married,4559,3,1,11,3,3,1,4,2,3,2,2,2,2
41,0,Travel_Rarely,802,1,9,1,Life Sciences,176,3,Male,96,3,3,Sales Executive,3,Divorced,8189,3,1,13,3,3,1,12,2,3,9,7,0,7
26,0,Travel_Rarely,1355,3,25,1,Life Sciences,177,3,Female,61,3,1,Human Resources,3,Married,2942,1,0,23,4,4,1,8,3,3,8,7,5,7
36,0,Travel_Rarely,216,2,6,2,Medical,178,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,6,0,20,4,4,2,7,0,3,3,2,0,1
51,1,Travel_Frequently,1150,2,8,4,Life Sciences,179,1,Male,53,1,3,Manufacturing Director,4,Single,10650,2,0,15,3,4,0,18,2,3,4,2,0,3
39,0,Travel_Rarely,1329,1,4,4,Life Sciences,182,4,Female,47,2,2,Sales Executive,3,Married,5902,4,0,14,3,3,1,17,1,4,15,11,5,9
25,0,Travel_Rarely,959,1,28,3,Life Sciences,183,1,Male,41,2,2,Sales Executive,3,Married,8639,2,0,18,3,4,0,6,3,3,2,2,2,2
30,0,Travel_Rarely,1240,3,9,3,Human Resources,184,3,Male,48,3,2,Human Resources,4,Married,6347,0,1,19,3,4,0,12,2,1,11,9,4,7
32,1,Travel_Rarely,1033,2,9,3,Medical,190,1,Female,41,3,1,Laboratory Technician,1,Single,4200,7,0,22,4,1,0,10,2,4,5,4,0,4
45,0,Travel_Rarely,1316,2,29,3,Medical,192,3,Male,83,3,1,Research Scientist,4,Single,3452,5,0,13,3,2,0,9,2,2,6,5,0,3
38,0,Travel_Rarely,364,2,3,5,Technical Degree,193,4,Female,32,3,2,Research Scientist,3,Single,4317,3,1,20,4,2,0,19,2,3,3,2,2,2
30,0,Travel_Rarely,438,2,18,3,Life Sciences,194,1,Female,75,3,1,Research Scientist,3,Single,2632,1,0,14,3,3,0,5,4,2,5,4,0,4
32,0,Travel_Frequently,689,1,9,2,Medical,195,4,Male,35,1,2,Sales Executive,4,Divorced,4668,0,0,17,3,4,3,9,2,4,8,7,0,7
30,0,Travel_Rarely,201,2,5,3,Technical Degree,197,4,Female,84,3,1,Research Scientist,1,Divorced,3204,5,0,14,3,4,1,8,3,3,3,2,2,2
30,0,Travel_Rarely,1427,2,2,1,Medical,198,2,Male,35,2,1,Laboratory Technician,4,Single,2720,0,0,13,3,4,0,6,3,3,5,3,1,2
41,0,Travel_Frequently,857,2,10,3,Life Sciences,199,4,Male,91,2,4,Manager,1,Divorced,17181,4,0,13,3,2,1,21,2,2,7,6,7,7
41,0,Travel_Rarely,933,2,9,4,Life Sciences,200,3,Male,94,3,1,Laboratory Technician,1,Married,2238,2,0,21,4,4,1,7,2,3,5,0,1,4
19,0,Travel_Rarely,1181,2,3,1,Medical,201,2,Female,79,3,1,Laboratory Technician,2,Single,1483,1,0,14,3,4,0,1,3,3,1,0,0,0
40,0,Travel_Frequently,1395,2,26,3,Medical,202,2,Female,54,3,2,Research Scientist,2,Divorced,5605,1,0,11,3,1,1,20,2,3,20,7,2,13
35,0,Travel_Rarely,662,1,1,5,Marketing,204,3,Male,94,3,3,Sales Executive,2,Married,7295,1,0,13,3,1,2,10,3,3,10,8,0,6
53,0,Travel_Rarely,1436,1,6,2,Marketing,205,2,Male,34,3,2,Sales Representative,3,Married,2306,2,1,20,4,4,1,13,3,1,7,7,4,5
45,0,Travel_Rarely,194,2,9,3,Life Sciences,206,2,Male,60,3,2,Laboratory Technician,2,Divorced,2348,8,0,18,3,3,1,20,2,1,17,9,0,15
32,0,Travel_Frequently,967,1,8,3,Marketing,207,2,Female,43,3,3,Sales Executive,4,Single,8998,1,0,14,3,4,0,9,2,3,9,8,3,7
29,0,Non-Travel,1496,2,1,1,Technical Degree,208,4,Male,41,3,2,Manufacturing Director,3,Married,4319,1,0,13,3,1,1,10,1,3,10,7,0,9
51,0,Travel_Rarely,1169,2,7,4,Medical,211,2,Male,34,2,2,Manufacturing Director,3,Married,6132,2,0,17,3,3,0,10,2,3,1,0,0,0
58,0,Travel_Rarely,1145,2,9,3,Medical,214,2,Female,75,2,1,Research Scientist,2,Married,3346,4,1,20,4,2,1,9,3,2,1,0,0,0
40,0,Travel_Rarely,630,1,4,4,Marketing,215,3,Male,67,2,3,Sales Executive,4,Married,10855,7,0,11,3,1,1,15,2,2,12,11,2,11
34,0,Travel_Frequently,303,1,2,4,Marketing,216,3,Female,75,3,1,Sales Representative,3,Married,2231,6,0,18,3,4,1,6,3,3,4,3,1,2
22,0,Travel_Rarely,1256,2,19,1,Medical,217,3,Male,80,3,1,Research Scientist,4,Married,2323,1,0,24,4,1,2,2,6,3,2,2,2,2
27,0,Non-Travel,691,2,9,3,Medical,218,4,Male,57,3,1,Research Scientist,2,Divorced,2024,6,0,18,3,4,1,6,1,1,2,2,2,2
28,0,Travel_Rarely,440,2,21,3,Medical,221,3,Male,42,3,1,Research Scientist,4,Married,2713,1,0,11,3,3,1,5,2,1,5,2,0,2
57,0,Travel_Rarely,334,2,24,2,Life Sciences,223,3,Male,83,4,3,Healthcare Representative,4,Divorced,9439,3,1,16,3,2,1,12,2,1,5,3,1,4
27,0,Non-Travel,1450,2,3,3,Medical,224,3,Male,79,2,1,Research Scientist,3,Divorced,2566,1,1,15,3,4,1,1,2,2,1,1,0,1
